

Item,Quantity,Unit Cost,Total Cost,Link,Notes
MG996R Servos,1,106.45,106.45,https://www.al1219.html,10-pack covers 10 of 12 needed;
source 2 more from a small listing or the or"
MG90 Servos,1,22.00,22.00,https://www.aliexpress.com/item/32974814563.html,"confirm 8-pc tier price at checkout; 4-pc tier priced at $11"
TPU Filament,1,11.00,11.00,https://www.aliexpress.us/item/2251832602486099.html,"CC3D 1kg; mid-tier brand safer than
sub-$8 no-name" both buck converter rows"
Buck Converter for ESP,1,1.50,1.50,https://www.aliexpress.us/item/2255800824560552.html,same order as the servo buck converter row above
4700uF Capacitor,1,1.50,1.50,https://www.aliexpress.us/item/3256804690325267.html,2-pack listing
Wire Stripper,1,4.64,4.64,https://www.aliexpress.com/item/32945247327.html,
Heat Shrink Pack,1,2.21,2.21,https://www.aliexpress.com/item/32839518453.html,530pc assortment
LiPo Voltage Checker,1,1.04,1.04,https://www.aliexpress.com/item/1005003595258411.html,1-8S tester
18 Gauge Wire Roll,1,5.00,5.00,https://www.aliexpress.com/item/4000009001537.html,"~$0.47/m; confirm total for length needed"
14 Gauge Wire Roll,1,5.00,5.00,https://www.a537.html,same seller/listing as 18AWG rowabove
ESP Dev Board,1,1.83,1.83,https://www.aliexpress.com/item/32864722159.html,confirm listing says ESP32-WROOM-32
PETG Filament,1,11.14,11.14,https://www.aliexpress.com/item/1005003672985929.html,Polymaker brand; skip the ~$5
no-name option
2.41,2.41,https://www.aliexpress.com/item/4000324996299.html,"IMAX B3 clone, no LCD, slower charge - fine for one pack"
Raspberry Pi Zero 2W,1,34.99,34.99,https://www.amazon.com/dp/B0FN4CN7TM,kept on Amazon - AliExpress price this low is almost certainly counterfeit
Raspberry Pi Zero Supplies,1,9.99,9.99,https://www.amazon.com/dp/B075FLGWJL,kept on Amazon - cheaper than the AliExpress bundle ($13.99)
Fuse,1,5.35,5.35,https://www.aliexpress.com/item/4000420440957.html,"220pc assortment; confirm it matches the Amazon item type"
Pi Zero Camera,1,4.33,4.33,https://www.aliexpress.com/item/32797121689.html,OV5647 clone, works with libcamera
Jumper Wires,1,2.00,2.00,https://www.aliexpr.html,
MAX98357A I2S Amplifier,1,1.85,1.85,https://www.aliexpress.com/item/1005004840960248.html,
INMP441 I2S Microphone,1,1.61,1.61,https://www.aliexpress.com/item/32962426410.html,
4 Ohm Speaker,1,6.39,6.39,https://www.aliexpl,2-pack covers the 1 you need with a spare
PCA9685 PWM Driver,1,3.47,3.47,https://www.aliexpress.com/item/32811125110.html,
M3 Hardware Assortment,1,9.99,9.99,https://www.amazon.com/dp/B0FGV5FCBN,on hand; AliExpress kit is bigger with no real savings
MPU6050 IMU,1,11.79,11.79,https://www.amazon.com/dp/B01DK83ZYQ,on hand; AliExpress GY-521 spare available for $1.09 if wanted
Metal Servo Horns,1,4.49,4.49,http://www.ali414_1672386419.html,5-pack covers your needfor 2 with 3 spare
